date,births
1970-01-01,8762
1970-01-02,10898
1970-01-03,11022
1970-01-04,10646
1970-01-05,10426
1970-01-06,10912
1970-01-07,9822
1970-01-08,8864
1970-01-09,10492
1970-01-10,9856
1970-01-11,8978
1970-01-12,8284
1970-01-13,9910
1970-01-14,9304
1970-01-15,9004
1970-01-16,10980
1970-01-17,12232
1970-01-18,11122
1970-01-20,8372
1970-01-21,9234
1970-01-22,9162
1970-01-23,8620
1970-01-24,9852
1970-01-25,10202
1970-01-26,10020
1970-01-27,9756
1970-01-28,9844
1970-01-29,9270
1970-01-30,9158
1970-01-31,10474
1970-02-01,10580
1970-02-02,10244
1970-02-03,9946
1970-02-04,10276
1970-02-05,9598
1970-02-06,8948
1970-02-07,10124
1970-02-08,10524
1970-02-09,10096
1970-02-10,9686
1970-02-11,10202
1970-02-12,9470
1970-02-13,8792
1970-02-14,10160
1970-02-15,10602
1970-02-16,10188
1970-02-17,9816
1970-02-18,9912
1970-02-19,9012
1970-02-21,9042
1970-02-22,10542
1970-02-23,10712
1970-02-24,10086
1970-02-25,9766
1970-02-26,10220
1970-02-27,9562
1970-02-28,9016
1970-03-01,10226
1970-03-02,10620
1970-03-03,10288
1970-03-04,10058
1970-03-05,10110
1970-03-06,9558
1970-03-07,9136
1970-03-08,10260
1970-03-09,10676
1970-03-10,10472
1970-03-11,10072
1970-03-12,10544
1970-03-13,9314
1970-03-14,8986
1970-03-15,10168
1970-03-16,10782
1970-03-17,10574
1970-03-18,10408
1970-03-19,10264
1970-03-20,9720
1970-03-25,8882
1970-03-26,10170
1970-03-27,11306
1970-03-28,10600
1970-03-29,10258
1970-03-30,10504
1970-03-31,9460
1970-04-01,8926
1970-04-02,10340
1970-04-03,10744
1970-04-04,10410
1970-04-05,10180
1970-04-06,10140
1970-04-07,9450
1970-04-08,8596
1970-04-09,10058
1970-04-10,10694
1970-04-11,10278
1970-04-12,10100
1970-04-13,10206
1970-04-14,9390
1970-04-15,8784
1970-04-16,10334
1970-04-17,10556
1970-04-18,10148
1970-04-19,9886
1970-04-20,9792
1970-04-21,8764
1970-04-22,8314
1970-04-23,9766
1970-04-24,10172
1970-04-26,10002
1970-04-27,10134
1970-04-28,10116
1970-04-29,9234
1970-04-30,8522
1970-05-01,10052
1970-05-02,10474
1970-05-03,9950
1970-05-04,9898
1970-05-05,10072
1970-05-06,9040
1970-05-07,8214
1970-05-08,9470
1970-05-09,10100
1970-05-10,9824
1970-05-11,9668
1970-05-12,9706
1970-05-13,8786
1970-05-14,8174
1970-05-15,9574
1970-05-16,10098
1970-05-17,9714
1970-05-18,9518
1970-05-19,9860
1970-05-20,8824
1970-05-21,8278
1970-05-22,9910
1970-05-23,10300
1970-05-24,9728
1970-05-25,9684
1970-05-28,9946
1970-05-29,8740
1970-05-30,8036
1970-05-31,9752
1970-06-01,10136
1970-06-02,9712
1970-06-03,9632
1970-06-04,9836
1970-06-05,8996
1970-06-06,8428
1970-06-07,10080
1970-06-08,10436
1970-06-09,10026
1970-06-10,9812
1970-06-11,10214
1970-06-12,8946
1970-06-13,8030
1970-06-14,10022
1970-06-15,10436
1970-06-16,10044
1970-06-17,10244
1970-06-18,10362
1970-06-19,9424
1970-06-20,8718
1970-06-21,10076
1970-06-22,10598
1970-06-23,10034
1970-06-24,10040
1970-06-25,9984
1970-06-26,8868
1970-06-27,8388
1970-06-29,10124
1970-06-30,10882
1970-07-01,10270
1970-07-02,9964
1970-07-03,10060
1970-07-04,9516
1970-07-05,8500
1970-07-06,9946
1970-07-07,10764
1970-07-08,10330
1970-07-09,10518
1970-07-10,10774
1970-07-11,9212
1970-07-12,8614
1970-07-13,10216
1970-07-14,10878
1970-07-15,10610
1970-07-16,10520
1970-07-17,10390
1970-07-18,9600
1970-07-19,8568
1970-07-20,10352
1970-07-21,10678
1970-07-22,10644
1970-07-23,10326
1970-07-24,10622
1970-07-25,9672
1970-07-26,8728
1970-07-27,10506
1970-07-28,11378
