date,births
1969-01-01,8486
1969-01-02,9002
1969-01-03,9542
1969-01-04,8960
1969-01-05,8390
1969-01-06,9560
1969-01-07,9738
1969-01-08,9734
1969-01-09,9434
1969-01-10,10042
1969-01-11,9178
1969-01-12,8450
1969-01-13,9834
1969-01-14,10366
1969-01-15,9894
1969-01-16,9662
1969-01-17,9974
1969-01-18,9312
1969-01-19,8622
1969-01-20,9808
1969-01-21,10474
1969-01-22,9884
1969-01-23,9454
1969-01-24,9798
1969-01-25,9022
1969-01-26,8568
1969-01-27,9910
1969-01-28,10032
1969-01-29,9380
1969-01-30,9674
1969-01-31,9692
1969-02-02,9130
1969-02-03,8814
1969-02-04,9988
1969-02-05,9996
1969-02-06,9676
1969-02-07,9728
1969-02-08,10102
1969-02-09,9262
1969-02-10,8694
1969-02-11,9954
1969-02-12,9856
1969-02-13,10008
1969-02-14,9606
1969-02-15,10354
1969-02-16,9310
1969-02-17,8534
1969-02-18,9822
1969-02-19,10176
1969-02-20,9816
1969-02-21,9982
1969-02-22,9916
1969-02-23,9152
1969-02-24,8704
1969-02-25,9966
1969-02-26,10566
1969-02-27,10048
1969-02-28,9618
1969-03-01,9756
1969-03-06,9186
1969-03-07,8580
1969-03-08,10068
1969-03-09,10264
1969-03-10,10046
1969-03-11,9704
1969-03-12,9948
1969-03-13,9334
1969-03-14,8394
1969-03-15,9892
1969-03-16,10188
1969-03-17,9776
1969-03-18,9640
1969-03-19,10034
1969-03-20,8838
1969-03-21,8336
1969-03-22,10128
1969-03-23,10136
1969-03-24,10064
1969-03-25,9812
1969-03-26,9902
1969-03-27,8962
1969-03-28,8602
1969-03-29,9802
1969-03-30,10272
1969-03-31,9818
1969-04-01,9698
1969-04-02,10326
1969-04-03,8908
1969-04-04,8186
1969-04-05,9592
1969-04-07,9960
1969-04-08,9978
1969-04-09,9530
1969-04-10,9572
1969-04-11,8748
1969-04-12,8008
1969-04-13,9374
1969-04-14,10176
1969-04-15,9852
1969-04-16,9708
1969-04-17,9920
1969-04-18,8940
1969-04-19,8134
1969-04-20,9566
1969-04-21,10428
1969-04-22,9840
1969-04-23,9876
1969-04-24,9872
1969-04-25,8994
1969-04-26,7928
1969-04-27,9610
1969-04-28,10226
1969-04-29,9868
1969-04-30,9472
1969-05-01,9646
1969-05-02,8922
1969-05-03,7966
1969-05-04,9518
1969-05-05,9700
1969-05-06,9138
1969-05-09,9206
1969-05-10,9736
1969-05-11,8768
1969-05-12,8094
1969-05-13,9930
1969-05-14,9964
1969-05-15,9626
1969-05-16,9484
1969-05-17,9362
1969-05-18,8516
1969-05-19,8122
1969-05-20,9306
1969-05-21,9862
1969-05-22,9184
1969-05-23,9524
1969-05-24,9824
1969-05-25,8946
1969-05-26,8028
1969-05-27,9494
1969-05-28,10388
1969-05-29,9766
1969-05-30,9406
1969-05-31,9584
1969-06-01,8558
1969-06-02,8226
1969-06-03,9840
1969-06-04,10352
1969-06-05,9938
1969-06-06,10190
1969-06-07,9154
1969-06-08,8640
1969-06-10,8426
1969-06-11,9862
1969-06-12,10158
1969-06-13,9838
1969-06-14,9588
1969-06-15,10006
1969-06-16,8814
1969-06-17,8226
1969-06-18,9738
1969-06-19,10320
1969-06-20,9950
1969-06-21,10220
1969-06-22,9852
1969-06-23,8920
1969-06-24,8402
1969-06-25,9744
1969-06-26,10294
1969-06-27,10220
1969-06-28,9756
1969-06-29,10424
1969-06-30,9034
1969-07-01,8612
1969-07-02,9880
1969-07-03,10624
1969-07-04,10466
1969-07-05,10344
1969-07-06,10776
1969-07-07,9566
1969-07-08,8800
1969-07-09,10588
1969-07-12,11146
1969-07-13,10758
1969-07-14,10562
1969-07-15,9168
1969-07-16,9248
1969-07-17,8860
1969-07-18,10634
1969-07-19,10842
1969-07-20,10576
1969-07-21,10562
1969-07-22,10686
1969-07-23,9472
1969-07-24,8978
1969-07-25,10242
1969-07-26,11296
1969-07-27,10698
1969-07-28,10668
1969-07-29,10632
1969-07-30,9674
1969-07-31,8940
1969-08-01,10196
1969-08-02,11040
1969-08-03,10468
1969-08-04,10430
1969-08-05,10688
1969-08-06,9786
1969-08-07,9408
1969-08-08,10548
1969-08-09,11102
1969-08-10,10634
1969-08-11,10346
1969-08-13,10730
1969-08-14,9982
1969-08-15,9082
1969-08-16,10450
1969-08-17,10944
1969-08-18,10852
