date,births
1980-11-17,10259
1980-11-18,9401
1980-11-19,8612
1980-11-20,8608
1980-11-21,9198
1980-11-22,10292
1980-11-23,10209
1980-11-24,10215
1980-11-25,9300
1980-11-26,8511
1980-11-27,9218
1980-11-28,10033
1980-11-29,10193
1980-11-30,9989
1980-12-01,10114
1980-12-02,9590
1980-12-03,8434
1980-12-04,8929
1980-12-05,10030
1980-12-06,10232
1980-12-07,9928
1980-12-08,9920
1980-12-09,9268
1980-12-10,8675
1980-12-11,9580
1980-12-12,10114
1980-12-13,10292
1980-12-14,10316
1980-12-15,10267
1980-12-16,9636
1980-12-17,8694
1980-12-18,9539
1980-12-19,10833
1980-12-20,10657
1980-12-21,10581
1980-12-22,10525
1980-12-23,10033
1980-12-24,8899
1980-12-25,9523
1980-12-26,5355
1980-12-27,5313
1980-12-28,11005
1980-12-29,10687
1980-12-30,9978
1980-12-31,9272
1981-01-01,9026
1981-01-02,9819
1981-01-03,10748
1981-01-04,10959
1981-01-05,10878
1981-01-06,10951
1981-01-07,10226
1981-01-08,9124
1981-01-09,9705
1981-01-10,10855
1981-01-11,11038
1981-01-12,11063
1981-01-13,10876
1981-01-14,10051
1981-01-15,9198
1981-01-16,9932
1981-01-17,10877
1981-01-18,10913
1981-01-19,10569
1981-01-20,10691
1981-01-21,10070
1981-01-22,9439
1981-01-23,9819
1981-01-24,11225
1981-01-25,11388
1981-01-26,11018
1981-01-27,5640
1981-01-28,11006
1981-01-29,9585
1981-01-30,9176
1981-01-31,10783
1981-02-01,11194
1981-02-02,10785
1981-02-03,11044
1981-02-04,11492
1981-02-05,9466
1981-02-06,9145
1981-02-07,11026
1981-02-08,11371
1981-02-09,10923
1981-02-10,10756
1981-02-11,10897
1981-02-12,9361
1981-02-13,9001
1981-02-14,10933
1981-02-15,11193
1981-02-16,10942
1981-02-17,10811
1981-02-18,10779
1981-02-19,9271
1981-02-20,9103
1981-02-21,10910
1981-02-22,11151
1981-02-23,11005
1981-02-24,11007
1981-02-25,10925
1981-02-26,9510
1981-02-27,9092
1981-02-28,9129
1981-03-01,11057
1981-03-02,11174
1981-03-03,11039
1981-03-04,11013
1981-03-05,9545
1981-03-06,9287
1981-03-07,10900
1981-03-08,11019
1981-03-09,11003
1981-03-10,10796
1981-03-11,11198
1981-03-12,9673
1981-03-13,9499
1981-03-14,11424
1981-03-15,11414
1981-03-16,11292
1981-03-17,11317
1981-03-18,11326
1981-03-19,9967
1981-03-20,9773
1981-03-21,11613
1981-03-22,11722
1981-03-23,11333
1981-03-24,10977
1981-03-25,11163
1981-03-26,9754
1981-03-27,9263
1981-03-28,11099
1981-03-29,11301
1981-03-31,11104
1981-04-01,10929
1981-04-02,11048
1981-04-03,9352
1981-04-04,9013
1981-04-05,10539
1981-04-06,10602
1981-04-07,10827
1981-04-08,10684
1981-04-09,10754
1981-04-10,8984
1981-04-11,8674
1981-04-12,10093
1981-04-13,10612
1981-04-14,10580
1981-04-15,10232
1981-04-16,10328
1981-04-17,8970
1981-04-18,8669
1981-04-19,10289
1981-04-20,10373
1981-04-21,10089
1981-04-22,10051
1981-04-23,10380
1981-04-24,8870
1981-04-25,9159
1981-04-26,10100
1981-04-27,10327
1981-04-28,10081
1981-04-29,9982
1981-04-30,10101
1981-05-02,8851
1981-05-03,8641
1981-05-04,10289
1981-05-05,10465
1981-05-06,10373
1981-05-07,10128
1981-05-08,10517
1981-05-09,8906
1981-05-10,8745
1981-05-11,10249
1981-05-12,10326
1981-05-13,10059
1981-05-14,9930
1981-05-15,10413
1981-05-16,8829
1981-05-17,8563
1981-05-18,10175
1981-05-19,10500
1981-05-20,10180
1981-05-21,9977
1981-05-22,10243
1981-05-23,8680
1981-05-24,8443
1981-05-25,10447
1981-05-26,10496
1981-05-27,10236
1981-05-28,8134
1981-05-29,9649
1981-05-30,8821
1981-05-31,8830
1981-06-02,10225
1981-06-03,10711
1981-06-04,10105
1981-06-05,9925
1981-06-06,10288
1981-06-07,8659
1981-06-08,8513
1981-06-09,10368
1981-06-10,10322
1981-06-11,10120
1981-06-12,9998
1981-06-13,10039
1981-06-14,8758
1981-06-15,8523
1981-06-16,10508
1981-06-17,10772
1981-06-18,10524
1981-06-19,10580
1981-06-20,10662
1981-06-21,8526
1981-06-22,8289
1981-06-23,10035
1981-06-24,10118
1981-06-25,8979
1981-06-26,7979
1981-06-27,9313
1981-06-28,8748
1981-06-29,8576
1981-06-30,10881
1981-07-01,11603
1981-07-02,10947
1981-07-03,3952
1981-07-04,8839
1981-07-05,8655
1981-07-06,8453
1981-07-07,8853
1981-07-08,9805
1981-07-09,10283
1981-07-10,9726
1981-07-11,9566
1981-07-12,9190
1981-07-13,8191
1981-07-14,9103
1981-07-15,10075
1981-07-16,10328
1981-07-17,10284
1981-07-18,10051
1981-07-19,9437
1981-07-20,8582
1981-07-21,9291
1981-07-22,10367
1981-07-23,10392
1981-07-24,10028
1981-07-25,10139
1981-07-26,9484
1981-07-27,8604
1981-07-28,9207
1981-07-29,10309
1981-07-30,10258
1981-07-31,10094
1981-08-01,9953
1981-08-02,9290
1981-08-03,4296
1981-08-04,4187
1981-08-05,9345
1981-08-06,10228
